registration,cost_centre
1HBW345,WA
S442CRR,SA
AWC839,NSW
CBZ256,VIC
EUB59K,VIC
S942BSE,Shepp
244XOU,Qld
DYK56N,NSW
CAS730,MIL
1CW2GS,WA
1WP9VR,VIC
1QM2TF,Qld
DE04ZL,NSW-Wagga
CV84HX,SA
1HKT378,WA
XS45AS,NSW
1IM5WQ,MIL
DBK94R,NSW
XV22JZ,VIC
DYB65N,NSW
1NO1SJ,VIC
817XRK,Qld
XZK390,WA
EWH67J,NSW
TL85AC,NSW
1SV5PY,Shepp
CK18EK,NSW
1QR3RG,VIC
S424BYC,NSW
BKF488,VIC
1FS2WW,VIC
"(YCE89S)
1SS9RU",VIC
1WY5HC,NSW
S405BNW,SA
1LT7LB,VIC
1LT7LD,VIC
1LT7LE,WA
1LT7LF,VIC
1LT7LG,VIC
1LT7LJ,VIC
XV95PN,Shepp
1IU9EM,VIC
CVI571,MIL
ELF87F,VIC
ELF96M,NSW
535WSY,Qld
1MD8YJ,VIC
1MD8YK,VIC
2AU7YU1QY4FI,Shepp
1QY4FJ,VIC
1JH1FU,VIC
1MH5VB,VIC
168ZJF,NSW
1TJ6HS,Shepp
424XCR,Qld
CGW232,Shepp
1GYW882,WA
1TJ6IZ,Shepp
ENE57U,Tas
Z38137,SA
ESA90L,VIC
1BL6GN,VIC
1EZY566,WA
1GTN676,WA
XV28ZD,Shepp
EAI98G,NSW
EYN77N,NSW
EHT70S,NSW
Z37992,Shepp
S155CVJ,SA
1IKH693,WA
361ROZ,Qld
2BK7CA,VIC
1PN5DO,Shepp
"CGK67D
1GIB879",VIC
EIT66Q,NSW
DBN979,VIC
1JB9BR,NSW
ECP30U,VIC
1SD7XR,NSW
1HPZ673,Qld
S272CBA,SA
CY21JL,NSW
AYX222,VIC
DGN310,MIL
TN62PQ,NSW
M63FZ,TAS
CJ91LQ,NSW
XP58CT,Shepp
FLB80M,NSW
CWG232,Shep
ELQ10R,NSW
CN74VS,NSW
1WY4HC,NSW
CGK67D,NSW
CMG06X,NSW
YCE89S,VIC
EOS53F,Shepp
